Indent number,x-coord,y-coord,Load,Hardness
112,1060,3190,300,165
113,1060,3450,300,180
114,1060,3720,300,172
115,1060,3980,300,171
116,1060,4250,300,171
117,1060,4510,300,158
118,1060,4780,300,177
119,1060,5040,300,164
120,1060,5310,300,166
121,1060,5580,300,190
122,1060,5840,300,177
123,1060,6110,300,184
124,1060,6370,300,191
125,1060,6640,300,169
126,1060,6900,300,179
127,1060,7170,300,189
128,1060,7440,300,187
129,1060,7700,300,208
130,1060,7970,300,192
131,1330,0,300,170
132,1330,270,300,168
133,1330,530,300,169
134,1330,800,300,164
135,1330,1060,300,166
136,1330,1330,300,161
137,1330,1590,300,163
138,1330,1860,300,167
139,1330,2130,300,166
140,1330,2390,300,160
141,1330,2660,300,172
142,1330,2920,300,154
143,1330,3190,300,164
144,1330,3450,300,154
145,1330,3720,300,164
146,1330,3980,300,162
147,1330,4250,300,169
148,1330,4520,300,163
149,1330,4780,300,177
150,1330,5050,300,172
151,1330,5310,300,175
152,1330,5580,300,187
153,1330,5840,300,186
154,1330,6110,300,175
155,1330,6370,300,183
156,1330,6640,300,176
157,1330,6910,300,182
158,1330,7170,300,187
159,1330,7430,300,205
160,1330,7700,300,194
161,1330,7970,300,189
162,1590,0,300,163
163,1590,270,300,165
164,1590,530,300,168
165,1590,800,300,164
166,1590,1060,300,165
167,1590,1330,300,159
168,1590,1590,300,167
169,1590,1860,300,157
170,1590,2120,300,149
171,1590,2390,300,161
172,1590,2660,300,164
173,1590,2920,300,162
174,1590,3190,300,166
175,1590,3450,300,163
176,1590,3720,300,157
177,1590,3980,300,174
178,1590,4250,300,163
179,1590,4520,300,168
180,1590,4780,300,157
181,1590,5050,300,174
182,1590,5310,300,177
183,1590,5580,300,169
184,1590,5840,300,167
185,1590,6110,300,185
186,1590,6370,300,179
187,1590,6640,300,176
188,1590,6900,300,195
189,1590,7170,300,173
190,1590,7430,300,192
191,1590,7700,300,180
192,1590,7970,300,197
193,1860,0,300,163
194,1860,270,300,166
195,1860,530,300,158
196,1860,800,300,158
197,1860,1060,300,172
198,1860,1330,300,166
199,1860,1590,300,158
200,1860,1860,300,170
201,1860,2130,300,164
202,1860,2390,300,164
203,1860,2660,300,163
204,1860,2920,300,163
205,1860,3190,300,159
206,1860,3450,300,165
207,1860,3720,300,157
208,1860,3980,300,164
209,1860,4250,300,166
210,1860,4510,300,159
211,1860,4780,300,170
212,1860,5050,300,164
213,1860,5310,300,171
214,1860,5580,300,189
215,1860,5840,300,172
216,1860,6110,300,175
217,1860,6370,300,171
218,1860,6640,300,177
219,1860,6910,300,180
220,1860,7170,300,181
221,1860,7440,300,182
222,1860,7700,300,181
223,1860,7970,300,198
224,2120,0,300,167
225,2120,270,300,161
226,2120,530,300,174
227,2120,800,300,166
228,2120,1060,300,164
229,2120,1330,300,168
230,2120,1600,300,166
231,2120,1860,300,167
232,2120,2390,300,174
233,2120,2660,300,165
234,2120,2920,300,164
235,2120,3190,300,169
236,2120,3450,300,155
237,2120,3990,300,159
238,2120,4250,300,163
239,2120,4520,300,161
240,2120,4780,300,164
241,2120,5050,300,174
242,2120,5310,300,173
243,2120,5580,300,178
244,2120,5840,300,163
245,2120,6110,300,168
246,2120,6370,300,165
247,2120,6640,300,168
248,2120,6900,300,173
249,2120,7170,300,173
250,2120,7440,300,196
251,2120,7700,300,186
252,2120,7970,300,192
253,2130,2130,300,162
254,2130,3720,300,164
255,2390,0,300,166
256,2390,270,300,163
257,2390,530,300,162
258,2390,800,300,169
259,2390,1070,300,175
260,2390,1330,300,167
261,2390,1600,300,159
262,2390,1860,300,164
263,2390,2130,300,163
264,2390,2390,300,159
265,2390,2660,300,162
266,2390,2920,300,169
267,2390,3190,300,154
268,2390,3450,300,151
269,2390,3720,300,173
270,2390,3980,300,162
271,2390,4250,300,157
272,2390,4520,300,167
273,2390,4780,300,174
274,2390,5050,300,177
275,2390,5310,300,165
276,2390,5580,300,169
277,2390,5840,300,176
278,2390,6110,300,157
279,2390,6380,300,169
280,2390,6640,300,182
281,2390,6910,300,168
282,2390,7170,300,173
283,2390,7440,300,180
284,2390,7700,300,177
285,2390,7970,300,184
286,2390,8230,300,191
287,2650,0,300,169
288,2650,1600,300,166
289,2650,1860,300,155
290,2650,2390,300,160
291,2650,2660,300,162
292,2650,2920,300,163
293,2650,3990,300,159
294,2650,4250,300,164
295,2650,4520,300,151
296,2650,4780,300,160
297,2650,5050,300,164
298,2650,5310,300,167
299,2650,5580,300,168
300,2650,5840,300,162
301,2650,6110,300,160
302,2650,6380,300,194
303,2650,6640,300,164
304,2650,6910,300,166
305,2650,7170,300,184
306,2650,7440,300,184
307,2650,7700,300,174
308,2650,8230,300,188
309,2660,270,300,162
310,2660,540,300,165
311,2660,800,300,163
312,2660,1070,300,162
313,2660,1330,300,163
314,2660,2130,300,160
315,2660,3190,300,158
316,2660,3450,300,160
317,2660,3720,300,161
318,2660,7970,300,170
319,2920,0,300,174
320,2920,270,300,160
321,2920,540,300,161
322,2920,800,300,159
323,2920,1070,300,163
324,2920,1330,300,159
325,2920,1600,300,166
326,2920,1860,300,163
327,2920,2130,300,155
328,2920,2390,300,158
329,2920,2660,300,152
330,2920,2920,300,160
331,2920,3190,300,163
332,2920,3450,300,175
333,2920,3720,300,157
334,2920,3980,300,162
335,2920,4250,300,162
336,2920,4520,300,163
337,2920,4780,300,158
338,2920,5050,300,155
339,2920,5310,300,159
340,2920,5580,300,166
341,2920,5840,300,154
342,2920,6110,300,154
343,2920,6380,300,168
344,2920,6640,300,164
345,2920,6910,300,180
346,2920,7170,300,171
347,2920,7440,300,178
348,2920,7700,300,173
349,2920,7970,300,193
350,2920,8230,300,182
351,3190,0,300,169
352,3190,270,300,164
353,3190,540,300,167
354,3190,800,300,165
355,3190,1070,300,172
356,3190,1330,300,158
357,3190,1600,300,161
358,3190,1860,300,163
359,3190,2130,300,163
360,3190,2390,300,163
361,3190,2660,300,159
362,3190,2920,300,163
363,3190,3190,300,160
364,3190,3460,300,154
365,3190,3720,300,172
366,3190,3990,300,165
367,3190,4250,300,169
368,3190,4520,300,163
369,3190,4780,300,164
370,3190,5050,300,172
371,3190,5310,300,172
372,3190,5580,300,163
373,3190,5850,300,162
374,3190,6110,300,178
375,3190,6370,300,161
376,3190,6640,300,162
377,3190,6910,300,166
378,3190,7170,300,178
379,3190,7440,300,175
380,3190,7700,300,170
381,3190,7970,300,186
382,3190,8230,300,180
383,3450,0,300,168
384,3450,270,300,160
385,3450,540,300,162
386,3450,800,300,158
387,3450,1070,300,159
388,3450,1330,300,164
389,3450,1600,300,158
390,3450,1860,300,159
391,3450,2130,300,159
392,3450,2390,300,167
393,3450,2660,300,156
394,3450,2920,300,165
395,3450,3190,300,165
396,3450,3460,300,159
397,3450,3720,300,156
398,3450,3990,300,163
399,3450,4250,300,166
400,3450,4520,300,166
401,3450,4780,300,165
402,3450,5050,300,167
403,3450,5310,300,166
404,3450,5580,300,162
405,3450,5850,300,159
406,3450,6110,300,178
407,3450,6380,300,156
408,3450,6640,300,167
409,3450,6910,300,160
410,3450,7170,300,166
411,3450,7440,300,179
412,3450,7700,300,178
413,3450,7970,300,180
414,3450,8230,300,178
415,3720,0,300,160
416,3720,270,300,172
417,3720,540,300,164
418,3720,800,300,170
419,3720,1070,300,163
420,3720,1330,300,164
421,3720,1600,300,155
422,3720,1860,300,158
423,3720,2130,300,167
424,3720,2390,300,161
425,3720,2660,300,151
426,3720,2920,300,152
427,3720,3190,300,158
428,3720,3460,300,160
429,3720,3720,300,162
430,3720,3990,300,161
431,3720,4250,300,163
432,3720,4520,300,158
433,3720,4780,300,171
434,3720,5050,300,164
435,3720,5310,300,153
436,3720,5580,300,168
437,3720,5840,300,171
438,3720,6110,300,179
439,3720,6380,300,154
440,3720,6640,300,168
441,3720,6910,300,178
442,3720,7170,300,172
443,3720,7440,300,165
444,3720,7700,300,175
445,3720,7970,300,169
446,3720,8230,300,178
447,3980,10,300,157
448,3980,270,300,167
449,3980,540,300,164
450,3980,800,300,161
451,3980,1070,300,158
452,3980,1330,300,161
453,3980,1600,300,159
454,3980,1860,300,166
455,3980,2130,300,163
456,3980,2400,300,170
457,3980,2660,300,160
458,3980,2920,300,158
459,3980,3190,300,163
460,3980,3460,300,150
461,3980,3720,300,156
462,3980,3980,300,158
463,3980,4250,300,164
464,3980,4520,300,163
465,3980,4780,300,174
466,3980,5050,300,171
467,3980,5310,300,157
468,3980,5580,300,165
469,3980,5850,300,172
470,3980,6110,300,162
471,3980,6380,300,175
472,3980,6640,300,167
473,3980,6910,300,173
474,3980,7170,300,184
475,3980,7440,300,171
476,3980,7700,300,169
477,3980,7970,300,180
478,3980,8230,300,177
479,4250,0,300,159
480,4250,270,300,159
481,4250,540,300,163
482,4250,800,300,161
483,4250,1070,300,160
484,4250,1330,300,167
485,4250,1600,300,160
486,4250,1860,300,161
487,4250,2130,300,150
488,4250,2390,300,155
489,4250,2660,300,163
490,4250,2930,300,156
491,4250,3190,300,163
492,4250,3460,300,161
493,4250,3720,300,162
494,4250,3990,300,171
495,4250,4250,300,164
496,4250,4520,300,155
497,4250,4780,300,162
498,4250,5050,300,162
499,4250,5310,300,162
500,4250,5580,300,172
501,4250,5850,300,165
502,4250,6110,300,168
503,4250,6380,300,175
504,4250,6640,300,168
505,4250,6910,300,165
506,4250,7170,300,173
507,4250,7440,300,167
508,4250,7700,300,169
509,4250,7970,300,179
510,4250,8240,300,181
511,4510,270,300,172
512,4510,540,300,164
513,4510,800,300,163
514,4510,1070,300,154
515,4510,1330,300,165
516,4510,1600,300,161
517,4510,1860,300,173
518,4510,2130,300,159
519,4510,2400,300,162
520,4510,2660,300,171
521,4510,2930,300,154
522,4510,3190,300,164
523,4510,3460,300,164
524,4510,3720,300,163
525,4510,3990,300,159
526,4510,4250,300,162
527,4510,4520,300,162
528,4510,4780,300,165
529,4510,5050,300,155
530,4510,5310,300,171
531,4510,5580,300,174
532,4510,5850,300,164
533,4510,6110,300,167
534,4510,6380,300,172
535,4510,6640,300,175
536,4510,6910,300,168
537,4510,7170,300,166
538,4510,7440,300,166
539,4510,7700,300,168
540,4510,7970,300,173
541,4510,8230,300,179
542,4520,0,300,158
543,4780,10,300,151
544,4780,270,300,159
545,4780,540,300,159
546,4780,800,300,163
547,4780,1070,300,170
548,4780,1330,300,164
549,4780,1600,300,170
550,4780,1860,300,162
551,4780,2130,300,155
552,4780,2390,300,162
553,4780,2660,300,167
554,4780,2930,300,160
555,4780,3190,300,145
556,4780,3460,300,160
557,4780,3720,300,172
558,4780,3990,300,159
559,4780,4250,300,158
560,4780,4520,300,156
561,4780,4780,300,155
562,4780,5050,300,167
563,4780,5310,300,152
564,4780,5580,300,170
565,4780,5850,300,159
566,4780,6110,300,169
567,4780,6380,300,166
568,4780,6640,300,170
569,4780,6910,300,155
570,4780,7170,300,160
571,4780,7440,300,160
572,4780,7700,300,163
573,4780,7970,300,166
574,4780,8240,300,177
575,5040,270,300,164
576,5040,540,300,165
577,5040,800,300,158
578,5040,1070,300,159
579,5040,1330,300,166
580,5040,1600,300,171
581,5040,1870,300,161
582,5040,2130,300,158
583,5040,2390,300,170
584,5040,2660,300,159
585,5040,3190,300,158
586,5040,3460,300,156
587,5040,3720,300,160
588,5040,3990,300,157
589,5040,4250,300,164
590,5040,4520,300,157
591,5040,4780,300,159
592,5040,5050,300,177
